"date","prec","tmin","tmax","bullet","color","um"
"1496289600237","0","20","25","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1496376000237","0","21","27","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1496462400237","0","21","26","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1496548800237","2","21","26","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1496635200237","0","21","26","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1496721600237","20","20","26","/images/icone/italia_2014/var_temporale.png","#1461A1","mm"
"1496808000238","11","18","24","/images/icone/italia_2014/var_temporale.png","#1461A1","mm"
"1496894400238","0","18","23","/images/icone/italia_2014/velato.png","#1461A1","mm"
"1496980800238","0","19","24","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1497067200238","0","19","25","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1497153600238","0","22","27","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1497240000238","0","22","25","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1497326400239","0","22","28","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1497412800239","0","20","29","/images/icone/italia_2014/velo_spesso.png","#1461A1","mm"
"1497499200239","0","22","26","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1497585600239","2","21","26","/images/icone/italia_2014/var_rovesci_30.png","#1461A1","mm"
"1497672000239","0","22","27","/images/icone/italia_2014/velato.png","#1461A1","mm"
"1497758400239","0","20","26","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1497844800239","0","20","27","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1497931200239","0","22","27","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1498017600239","0","23","29","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1498104000239","0","24","29","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1498190400239","0","24","28","/images/icone/italia_2014/velato.png","#1461A1","mm"
"1498276800239","0","25","29","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1498363200239","27","23","29","/images/icone/italia_2014/temporale.png","#1461A1","mm"
"1498449600239","0","22","27","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1498536000239","5","24","28","/images/icone/italia_2014/temporali_isolati.png","#1461A1","mm"
"1498622400240","38","21","30","/images/icone/italia_2014/temporale.png","#1461A1","mm"
"1498708800240","3","19","26","/images/icone/italia_2014/var_rovesci_30.png","#1461A1","mm"
"1498795200240","3","19","25","/images/icone/italia_2014/var_rovesci_30.png","#1461A1","mm"
