"date","prec","tmin","tmax","bullet","color","um"
"1501560000289","0","26","30","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1501646400289","0","27","31","/images/icone/italia_2014/velato.png","#1461A1","mm"
"1501732800289","0","27","32","/images/icone/italia_2014/velato.png","#1461A1","mm"
"1501819200289","0","27","32","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1501905600289","0","28","34","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1501992000289","11","24","32","/images/icone/italia_2014/temporali_isolati.png","#1461A1","mm"
"1502078400289","0","24","29","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1502164800290","0","24","29","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1502251200290","0","26","30","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1502337600290","50","22","29","/images/icone/italia_2014/var_temporale_forte.png","#1461A1","mm"
"1502424000291","0","21","27","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1502510400291","3","22","26","/images/icone/italia_2014/var_rovesci_30.png","#1461A1","mm"
"1502596800291","0","22","27","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1502683200291","0","23","28","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1502769600291","0","23","27","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1502856000291","0","24","28","/images/icone/italia_2014/velato.png","#1461A1","mm"
"1502942400291","0","24","33","/images/icone/italia_2014/velato.png","#1461A1","mm"
"1503028800291","0","24","29","/images/icone/italia_2014/velato.png","#1461A1","mm"
"1503115200292","16","19","28","/images/icone/italia_2014/var_temporale.png","#1461A1","mm"
"1503201600292","0","21","25","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1503288000292","0","21","26","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1503374400292","0","20","24","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1503460800292","0","21","26","/images/icone/italia_2014/velato.png","#1461A1","mm"
"1503547200293","0","21","26","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1503633600293","0","22","27","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1503720000293","0","23","28","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1503806400293","0","24","29","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1503892800293","2","23","28","/images/icone/italia_2014/var_rovesci_30.png","#1461A1","mm"
"1503979200293","0","22","29","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1504065600293","0","22","26","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1504152000293","2","23","28","/images/icone/italia_2014/velato.png","#1461A1","mm"
