"date","prec","tmin","tmax","bullet","color","um"
"1498881600866","2","21","25","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1498968000866","2","20","27","/images/icone/italia_2014/var_rovesci_30.png","#1461A1","mm"
"1499054400866","2","21","27","/images/icone/italia_2014/var_rovesci_30.png","#1461A1","mm"
"1499140800866","0","21","27","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1499227200866","0","22","28","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1499313600866","0","24","28","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1499400000866","0","24","29","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1499486400866","0","23","30","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1499572800866","0","24","29","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1499659200866","0","23","29","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1499745600867","8","24","28","/images/icone/italia_2014/temporali_isolati.png","#1461A1","mm"
"1499832000867","0","24","27","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1499918400867","0","23","31","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1500004800867","1","21","26","/images/icone/italia_2014/var_rovesci_30.png","#1461A1","mm"
"1500091200867","0","22","28","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1500177600867","0","23","27","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1500264000867","0","21","26","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1500350400867","0","22","28","/images/icone/italia_2014/sereno.png","#1461A1","mm"
"1500436800867","0","23","27","/images/icone/italia_2014/velato.png","#1461A1","mm"
"1500523200867","0","23","27","/images/icone/italia_2014/parzialmente_nuvoloso.png","#1461A1","mm"
"1500609600867","0","24","28","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1500696000867","0","24","28","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1500782400867","0","24","28","/images/icone/italia_2014/velato.png","#1461A1","mm"
"1500868800867","16","20","29","/images/icone/italia_2014/var_temporale.png","#1461A1","mm"
"1500955200867","0","20","25","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1501041600867","0","20","25","/images/icone/italia_2014/parz_nuv_strati.png","#1461A1","mm"
"1501128000867","0","21","26","/images/icone/italia_2014/parz_nuv_strati.png","#1461A1","mm"
"1501214400867","0","22","27","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1501300800867","0","23","28","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1501387200868","0","24","27","/images/icone/italia_2014/poco_nuvoloso.png","#1461A1","mm"
"1501473600868","0","25","29","/images/icone/italia_2014/sereno.png","#1461A1","mm"
